"","Date","IDStation","PM2.5"
"1",2016-01-01,583,62
"2",2016-01-02,583,59
"3",2016-01-03,583,35
"4",2016-01-04,583,35
"5",2016-01-05,583,34
"6",2016-01-06,583,27
"7",2016-01-07,583,24
"8",2016-01-08,583,35
"9",2016-01-09,583,60
"10",2016-01-10,583,32
"11",2016-01-11,583,31
"12",2016-01-12,583,18
"13",2016-01-13,583,12
"14",2016-01-14,583,27
"15",2016-01-15,583,19
"16",2016-01-16,583,18
"17",2016-01-17,583,7
"18",2016-01-18,583,19
"19",2016-01-19,583,32
"20",2016-01-20,583,52
"21",2016-01-21,583,54
"22",2016-01-22,583,52
"23",2016-01-23,583,65
"24",2016-01-24,583,73
"25",2016-01-25,583,45
"26",2016-01-26,583,31
"27",2016-01-27,583,46
"28",2016-01-28,583,114
"29",2016-01-29,583,45
"30",2016-01-31,583,61
"31",2016-02-01,583,53
"32",2016-02-02,583,72
"33",2016-02-03,583,28
"34",2016-02-04,583,19
"35",2016-02-05,583,27
"36",2016-02-06,583,35
"37",2016-02-07,583,14
"38",2016-02-08,583,12
"39",2016-02-09,583,13
"40",2016-02-10,583,9
"41",2016-02-11,583,16
"42",2016-02-12,583,28
"43",2016-02-13,583,39
"44",2016-02-14,583,33
"45",2016-02-15,583,19
"46",2016-02-16,583,27
"47",2016-02-17,583,12
"48",2016-02-18,583,24
"49",2016-02-19,583,27
"50",2016-02-20,583,19
"51",2016-02-21,583,15
"52",2016-02-22,583,51
"53",2016-02-23,583,55
"54",2016-02-24,583,22
"55",2016-02-25,583,22
"56",2016-02-26,583,31
"57",2016-02-27,583,21
"58",2016-02-28,583,3
"59",2016-02-29,583,4
"60",2016-03-01,583,16
"61",2016-03-02,583,31
"62",2016-03-03,583,12
"63",2016-03-04,583,22
"64",2016-03-05,583,11
"65",2016-03-06,583,26
"66",2016-03-07,583,26
"67",2016-03-08,583,23
"68",2016-03-09,583,26
"69",2016-03-10,583,32
"70",2016-03-11,583,28
"71",2016-03-12,583,32
"72",2016-03-13,583,20
"73",2016-03-14,583,23
"74",2016-03-15,583,27
"75",2016-03-16,583,16
"76",2016-03-17,583,25
"77",2016-03-18,583,25
"78",2016-03-19,583,21
"79",2016-03-20,583,15
"80",2016-03-21,583,19
"81",2016-03-22,583,37
"82",2016-03-23,583,28
"83",2016-03-24,583,23
"84",2016-03-25,583,26
"85",2016-03-26,583,39
"86",2016-03-27,583,27
"87",2016-03-28,583,30
"88",2016-03-29,583,14
"89",2016-03-30,583,15
"90",2016-03-31,583,22
"91",2016-04-01,583,33
"92",2016-04-02,583,38
"93",2016-04-03,583,29
"94",2016-04-04,583,34
"95",2016-04-05,583,39
"96",2016-04-06,583,45
"97",2016-04-07,583,48
"98",2016-04-08,583,31
"99",2016-04-09,583,12
"100",2016-04-10,583,15
"101",2016-04-11,583,19
"102",2016-04-12,583,13
"103",2016-04-13,583,22
"104",2016-04-14,583,8
"105",2016-04-15,583,15
"106",2016-04-16,583,13
"107",2016-04-17,583,13
"108",2016-04-18,583,12
"109",2016-04-19,583,12
"110",2016-04-20,583,19
"111",2016-04-21,583,23
"112",2016-04-22,583,21
"113",2016-04-23,583,18
"114",2016-04-24,583,11
"115",2016-04-25,583,6
"116",2016-04-26,583,14
"117",2016-04-27,583,6
"118",2016-04-28,583,17
"119",2016-04-29,583,19
"120",2016-04-30,583,10
"121",2016-05-01,583,9
"122",2016-05-02,583,12
"123",2016-05-03,583,12
"124",2016-05-04,583,12
"125",2016-05-05,583,17
"126",2016-05-06,583,14
"127",2016-05-07,583,18
"128",2016-05-08,583,14
"129",2016-05-09,583,22
"130",2016-05-10,583,13
"131",2016-05-11,583,17
"132",2016-05-12,583,4
"133",2016-05-13,583,8
"134",2016-05-14,583,15
"135",2016-05-15,583,7
"136",2016-05-16,583,14
"137",2016-05-17,583,15
"138",2016-05-18,583,16
"139",2016-05-19,583,5
"140",2016-05-20,583,5
"141",2016-05-21,583,11
"142",2016-05-22,583,11
"143",2016-05-23,583,6
