IDSensor,IDStation,Pollutant,NameStation,Altitude,Province,City,DateStart,DateStop,Latitude,Longitude,Typology
10399,583,PM2.5,Bergamo - via Meucci,249,BG,Bergamo,2008-12-20,NA,45.69103740547214,9.643650579461385,UB
9740,604,PM10,Tavazzano,85,LO,Tavazzano con Villavesco,2005-04-05,NA,45.33036100181227,9.414644726627262,SB
6376,567,NOx,Chiavenna,333,SO,Chiavenna,1993-10-30,2018-07-30,46.320803497826546,9.395590913257395,NA
10025,685,Ozone,Calusco d' Adda,273,BG,Calusco d'Adda,2006-06-30,NA,45.69042907854514,9.484260927647789,SB
5824,541,CO,Limbiate,181,MB,Limbiate,1994-11-23,2011-07-01,45.597443498230305,9.125948942472387,NA
6642,542,PM_tot,Meda,222,MB,Meda,1995-11-01,1998-02-04,45.66176219189168,9.156643984551597,UT
10505,1269,NOx,Dalmine - via Verdi,207,BG,Dalmine,2010-02-12,NA,45.64970251236247,9.601223338785262,UT
5519,516,NO2,Robecchetto,135,MI,Robecchetto con Induno,1992-12-07,2017-01-01,45.51782219008838,8.766562109244964,SB
5989,584,Benzene,Bergamo - via Garibaldi,249,BG,Bergamo,1997-08-02,NA,45.69568034432694,9.66124914606551,UT
6645,515,PM_tot,Pero,141,MI,Pero,1991-05-08,2005-10-13,45.509852266792514,9.089972020337333,NA
5561,558,NO2,Busto Arsizio - Accam,206,VA,Busto Arsizio,1998-12-06,NA,45.582894292717725,8.842165456706075,SB
6775,651,NO2,Brescia - via Triumplina $,175,BS,Brescia,1999-01-15,2005-10-19,45.57158552261201,10.23148691302886,NA
10258,626,Ammonia,Corte de Cortesi,57,CR,Corte de' Cortesi con Cignone,2006-11-22,NA,45.27848755478839,10.006202391204335,RB
10451,1265,NOx,Lodi - S. Alberto,76,LO,Lodi,2009-08-03,NA,45.302783503095775,9.495273696926324,UB
17163,655,Benzene,Darfo (aria),221,BS,Darfo Boario Terme,2012-10-05,NA,45.87460210989037,10.17735680898138,SB
5531,528,NO2,Milano - Verziere,116,MI,Milano,1988-11-24,NA,45.463346740666545,9.195324807668857,UT
5560,557,NO2,Lonate Pozzolo,204,VA,Lonate Pozzolo,1996-12-05,2018-07-30,45.59402351710858,8.7407965765392,NA
10259,569,Benzene,Sondrio - via Mazzini,307,SO,Sondrio,2006-09-19,NA,46.16796681227828,9.87014407497457,UT
10001,683,NOx,Cassano d'Adda 2 - Via Milano,133,MI,Cassano d'Adda,2006-02-17,NA,45.52647254585104,9.515980483627096,UT
5669,583,Sulfur_dioxide,Bergamo - via Meucci,249,BG,Bergamo,1989-06-01,2003-06-03,45.69103740547214,9.643650579461385,UB
10349,527,PM2.5,Castano Primo,175,MI,Castano Primo,2007-03-03,2017-01-01,45.54594268367404,8.776104584370271,NA
6934,591,PM10,Seriate,256,BG,Seriate,2000-01-28,2003-08-12,45.68635606439914,9.714947917631529,NA
10153,702,NOx,Pieve di Coriano,16,MN,Pieve di Coriano,2006-11-29,NA,45.03394281418463,11.116918109540054,NA
5593,590,NO2,Ponte S.Pietro,225,BG,Ponte San Pietro,1990-07-04,2013-05-26,45.696081938463465,9.587784018279269,NA
6428,633,NOx,Soresina,70,CR,Soresina,2002-01-01,NA,45.28397715446764,9.863398419993635,ST
5746,557,Ozone,Lonate Pozzolo,204,VA,Lonate Pozzolo,1996-12-13,2005-08-17,45.59402351710858,8.7407965765392,NA
10586,677,PM2.5,Cremona - Via Fatebenefratelli,43,CR,Cremona,2010-07-28,NA,45.14254063221695,10.043836158369393,UB
10407,1263,NO2,Villa di Serio,280,BG,Villa di Serio,2008-10-08,2018-07-30,45.73589144532835,9.738394788043442,NA
10450,655,PM2.5,Darfo (aria),221,BS,Darfo Boario Terme,2008-12-23,NA,45.87460210989037,10.17735680898138,SB
17126,705,Benzene,Milano - Pascal Città Studi,122,MI,Milano,2012-09-13,NA,45.47899606168744,9.235491038497502,UB
5950,626,NO2,Corte de Cortesi,57,CR,Corte de' Cortesi con Cignone,1996-05-17,NA,45.27848755478839,10.006202391204335,RB
5603,600,NO2,Lodi - viale Vignati,80,LO,Lodi,1999-12-30,NA,45.30601298752377,9.48526286320174,UT
6702,643,Sulfur_dioxide,Pavia - p.zza Minerva,77,PV,Pavia,2002-03-03,2003-08-11,45.18632908049483,9.146666041286784,UT
5555,552,NO2,Varese - Vidoletti,425,VA,Varese,1991-12-24,NA,45.83690077655548,8.80392612667495,UB
